,Text,Good A,Good B,Good C,Good D
0,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
1,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
2,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
3,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
4,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
5,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
6,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
7,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
8,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
9,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,3,3
10,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
11,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,3,3
12,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
13,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 2"",
  ""Good D"": ""Person 3""
}",1,2,3,1
14,"```json
{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 2"",
  ""Good D"": ""Person 3""
}
```",1,2,3,1
15,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
16,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
17,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
18,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
19,"``` JSON
{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}
```",2,1,2,3
20,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
21,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
22,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
23,"{
""Good A"": ""Person 2"", 
""Good B"": ""Person 1"", 
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
24,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
25,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
26,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,1,2,3
27,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,None
28,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
29,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
30,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
31,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
32,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
33,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
34,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,1,2,3
35,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,1,2,3
36,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1""
}",2,1,3,1
37,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
38,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
39,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
40,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
41,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
42,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1""
}",1,2,3,1
43,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
44,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
45,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,1,2,3
46,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
47,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
48,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1""
}",2,1,3,2
49,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Good C"": ""Person 3"",
""Good D"": ""Person 1""
}",1,2,3,1
50,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
51,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",2,1,2,3
52,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""Person 3""
}",1,2,3,1
