,Text,Good A,Good B,Good C,Person 1 money,Person 2 money,Person 3 money
0,"{
""Person 1"": ""[Good A, 1]"",
""Person 2"": ""[Good B, 3]"",
""Person 3"": ""[Good C, 1]""
}",1,2,3,1,3,1
1,"{
""Person 1"": ""[Good A, Good C, 0]"",
""Person 2"": ""[Good B, 5]"",
""Person 3"": ""[Good B, 5]""
}",1,2,1,0,5,5
2,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""3 units of money""],
""Person 3"": [""Good C"", ""1 unit of money""]
}",1,2,3,1 unit of money,3 units of money,1 unit of money
3,"{
""Person 1"": [""Good A"", 1],
""Person 2"": [""Good B"", 4],
""Person 3"": [""Good C"", 0]
}",1,2,3,1,4,0
4,"``` JSON
{
""Person 1"": [""Good A"", 3.5],
""Person 2"": [""Good B"", 1.5],
""Person 3"": [""Good C"", 5]
}
```",1,2,3,3.5,1.5,0
5,"{
""Person 1"": ""[Good A, 1 unit of money]"",
""Person 2"": ""[Good B, 2 units of money]"",
""Person 3"": ""[Good C, 2 units of money]""
}",1,2,3,1,2,2
6,"{
""Person 1"": ""[Good A, Good B, 1 unit of money]"",
""Person 2"": ""[Good C, 3 units of money]"",
""Person 3"": ""[2 units of money]""
}",1,1,2,1 unit,3 units,2 units
7,"{
""Person 1"": [""Good A"", ""1 unit of money""],
""Person 2"": [""Good B"", ""2 units of money""],
""Person 3"": [""Good C"", ""2 units of money""]
}",1,2,3,1 unit of money,2 units of money,2 units of money
8,"{
""Person 1"": [""Good A"", ""Good C"", ""1 unit of money""],
""Person 2"": [""Good B"", ""2 units of money""],
""Person 3"": [""3 units of money""]
}",1,2,1,1,2,3
9,"{
""Person 1"": [""Good A"", ""Good C"", ""2""],
""Person 2"": [""Good B"", ""3""],
""Person 3"": [""Good B"", ""5""]
}",1,2,1,2,3,0
10,"{
""Person 1"": [""Good A"", ""2""],
""Person 2"": [""Good B"", ""3""],
""Person 3"": [""Good C"", ""0""]
}",1,2,3,2,3,0
11,"{
""Person 1"": ""[Good A, Good B, 0]"",
""Person 2"": ""[Good C, 4]"",
""Person 3"": ""[5]""
}",1,1,2,0,4,5
