,LLM Type,Version,Question,Strategy,Metric,Percentage
0,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,IA,72.4
1,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,EF,70.4
2,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,USW,25.2
3,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,PO,25.2
4,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,MAX,0.0
5,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,RMM,23.2
6,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,coverage,97.60000000000001
7,gemini,gemini-1.0-pro-latest,1,word_best_person_centric.csv,clarity,3410.0
8,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,IA,72.4
9,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,EF,70.4
10,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,USW,25.2
11,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,PO,25.2
12,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,MAX,0.0
13,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,RMM,23.2
14,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,coverage,97.60000000000001
15,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_True.csv,clarity,5234.0
16,gemini,gemini-1.0-pro-latest,1,word.csv,IA,72.4
17,gemini,gemini-1.0-pro-latest,1,word.csv,EF,70.4
18,gemini,gemini-1.0-pro-latest,1,word.csv,USW,25.2
19,gemini,gemini-1.0-pro-latest,1,word.csv,PO,25.2
20,gemini,gemini-1.0-pro-latest,1,word.csv,MAX,0.0
21,gemini,gemini-1.0-pro-latest,1,word.csv,RMM,23.2
22,gemini,gemini-1.0-pro-latest,1,word.csv,coverage,97.60000000000001
23,gemini,gemini-1.0-pro-latest,1,word.csv,clarity,2626.0
24,gemini,gemini-1.0-pro-latest,1,table.csv,IA,72.4
25,gemini,gemini-1.0-pro-latest,1,table.csv,EF,70.4
26,gemini,gemini-1.0-pro-latest,1,table.csv,USW,25.2
27,gemini,gemini-1.0-pro-latest,1,table.csv,PO,25.2
28,gemini,gemini-1.0-pro-latest,1,table.csv,MAX,0.0
29,gemini,gemini-1.0-pro-latest,1,table.csv,RMM,23.2
30,gemini,gemini-1.0-pro-latest,1,table.csv,coverage,97.60000000000001
31,gemini,gemini-1.0-pro-latest,1,table.csv,clarity,3104.0
32,gemini,gemini-1.0-pro-latest,1,word_best.csv,IA,72.4
33,gemini,gemini-1.0-pro-latest,1,word_best.csv,EF,70.4
34,gemini,gemini-1.0-pro-latest,1,word_best.csv,USW,25.2
35,gemini,gemini-1.0-pro-latest,1,word_best.csv,PO,25.2
36,gemini,gemini-1.0-pro-latest,1,word_best.csv,MAX,0.0
37,gemini,gemini-1.0-pro-latest,1,word_best.csv,RMM,23.2
38,gemini,gemini-1.0-pro-latest,1,word_best.csv,coverage,97.60000000000001
39,gemini,gemini-1.0-pro-latest,1,word_best.csv,clarity,4354.0
40,gemini,gemini-1.0-pro-latest,1,word_rank.csv,IA,72.4
41,gemini,gemini-1.0-pro-latest,1,word_rank.csv,EF,70.4
42,gemini,gemini-1.0-pro-latest,1,word_rank.csv,USW,25.2
43,gemini,gemini-1.0-pro-latest,1,word_rank.csv,PO,25.2
44,gemini,gemini-1.0-pro-latest,1,word_rank.csv,MAX,0.0
45,gemini,gemini-1.0-pro-latest,1,word_rank.csv,RMM,23.2
46,gemini,gemini-1.0-pro-latest,1,word_rank.csv,coverage,97.60000000000001
47,gemini,gemini-1.0-pro-latest,1,word_rank.csv,clarity,3166.0
48,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,IA,72.4
49,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,EF,70.4
50,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,USW,25.2
51,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,PO,25.2
52,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,MAX,0.0
53,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,RMM,23.2
54,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,coverage,97.60000000000001
55,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric.csv,clarity,4746.0
56,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,IA,72.4
57,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,EF,70.4
58,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,USW,25.2
59,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,PO,25.2
60,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,MAX,0.0
61,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,RMM,23.2
62,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,coverage,97.60000000000001
63,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_optional.csv,clarity,4544.0
64,gemini,gemini-1.0-pro-latest,1,pipes.csv,IA,72.4
65,gemini,gemini-1.0-pro-latest,1,pipes.csv,EF,70.4
66,gemini,gemini-1.0-pro-latest,1,pipes.csv,USW,25.2
67,gemini,gemini-1.0-pro-latest,1,pipes.csv,PO,25.2
68,gemini,gemini-1.0-pro-latest,1,pipes.csv,MAX,0.0
69,gemini,gemini-1.0-pro-latest,1,pipes.csv,RMM,23.2
70,gemini,gemini-1.0-pro-latest,1,pipes.csv,coverage,97.60000000000001
71,gemini,gemini-1.0-pro-latest,1,pipes.csv,clarity,4056.0
72,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,IA,72.4
73,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,EF,70.4
74,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,USW,25.2
75,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,PO,25.2
76,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,MAX,0.0
77,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,RMM,23.2
78,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,coverage,97.60000000000001
79,gemini,gemini-1.0-pro-latest,1,word_best_goods_centric_mandatory.csv,clarity,5316.0
80,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,IA,26.2
81,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,EF,26.2
82,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,USW,9.0
83,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,PO,47.9
84,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,MAX,9.0
85,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,RMM,38.9
86,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,coverage,82.0
87,gemini,gemini-1.0-pro-latest,2,word_best_person_centric.csv,clarity,766.0
88,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,IA,26.2
89,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,EF,26.2
90,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,USW,9.0
91,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,PO,47.9
92,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,MAX,9.0
93,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,RMM,38.9
94,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,coverage,82.0
95,gemini,gemini-1.0-pro-latest,2,word_best_goods_centric_True.csv,clarity,4584.0
96,gemini,gemini-1.0-pro-latest,2,word.csv,IA,26.2
97,gemini,gemini-1.0-pro-latest,2,word.csv,EF,26.2
98,gemini,gemini-1.0-pro-latest,2,word.csv,USW,9.0
99,gemini,gemini-1.0-pro-latest,2,word.csv,PO,47.9
100,gemini,gemini-1.0-pro-latest,2,word.csv,MAX,9.0
101,gemini,gemini-1.0-pro-latest,2,word.csv,RMM,38.9
