,Model,Question,Expressions,Frequency
0,gemini-1.0-pro-latest,question_1,nash bargaining,17
1,gpt-35-turbo-1106,question_1,nash bargaining,0
2,gemini-1.0-pro-latest,question_10,nash bargaining,1
3,gpt-35-turbo-1106,question_10,nash bargaining,0
4,gemini-1.0-pro-latest,question_2,nash bargaining,9
5,gpt-35-turbo-1106,question_2,nash bargaining,1
6,gemini-1.0-pro-latest,question_3,nash bargaining,3
7,gpt-35-turbo-1106,question_3,nash bargaining,0
8,gemini-1.0-pro-latest,question_4,nash bargaining,6
9,gpt-35-turbo-1106,question_4,nash bargaining,4
10,gemini-1.0-pro-latest,question_5,nash bargaining,4
11,gpt-35-turbo-1106,question_5,nash bargaining,2
12,gemini-1.0-pro-latest,question_6,nash bargaining,9
13,gpt-35-turbo-1106,question_6,nash bargaining,4
14,gemini-1.0-pro-latest,question_7,nash bargaining,1
15,gpt-35-turbo-1106,question_7,nash bargaining,2
16,gemini-1.0-pro-latest,question_8,nash bargaining,1
17,gpt-35-turbo-1106,question_8,nash bargaining,1
18,gemini-1.0-pro-latest,question_9,nash bargaining,2
19,gpt-35-turbo-1106,question_9,nash bargaining,0
20,gemini-1.0-pro-latest,question_1,adjusted winner,5
21,gpt-35-turbo-1106,question_1,adjusted winner,0
22,gemini-1.0-pro-latest,question_10,adjusted winner,0
23,gpt-35-turbo-1106,question_10,adjusted winner,0
24,gemini-1.0-pro-latest,question_2,adjusted winner,2
25,gpt-35-turbo-1106,question_2,adjusted winner,3
26,gemini-1.0-pro-latest,question_3,adjusted winner,3
27,gpt-35-turbo-1106,question_3,adjusted winner,0
28,gemini-1.0-pro-latest,question_4,adjusted winner,4
29,gpt-35-turbo-1106,question_4,adjusted winner,2
30,gemini-1.0-pro-latest,question_5,adjusted winner,1
31,gpt-35-turbo-1106,question_5,adjusted winner,0
32,gemini-1.0-pro-latest,question_6,adjusted winner,1
33,gpt-35-turbo-1106,question_6,adjusted winner,1
34,gemini-1.0-pro-latest,question_7,adjusted winner,0
35,gpt-35-turbo-1106,question_7,adjusted winner,0
36,gemini-1.0-pro-latest,question_8,adjusted winner,1
37,gpt-35-turbo-1106,question_8,adjusted winner,8
38,gemini-1.0-pro-latest,question_9,adjusted winner,0
39,gpt-35-turbo-1106,question_9,adjusted winner,0
40,gemini-1.0-pro-latest,question_1,maximizes the total value,30
41,gpt-35-turbo-1106,question_1,maximizes the total value,47
42,gemini-1.0-pro-latest,question_10,maximizes the total value,17
43,gpt-35-turbo-1106,question_10,maximizes the total value,2
44,gemini-1.0-pro-latest,question_2,maximizes the total value,29
45,gpt-35-turbo-1106,question_2,maximizes the total value,42
46,gemini-1.0-pro-latest,question_3,maximizes the total value,35
47,gpt-35-turbo-1106,question_3,maximizes the total value,43
48,gemini-1.0-pro-latest,question_4,maximizes the total value,36
49,gpt-35-turbo-1106,question_4,maximizes the total value,45
50,gemini-1.0-pro-latest,question_5,maximizes the total value,19
51,gpt-35-turbo-1106,question_5,maximizes the total value,38
52,gemini-1.0-pro-latest,question_6,maximizes the total value,47
53,gpt-35-turbo-1106,question_6,maximizes the total value,51
54,gemini-1.0-pro-latest,question_7,maximizes the total value,33
55,gpt-35-turbo-1106,question_7,maximizes the total value,31
56,gemini-1.0-pro-latest,question_8,maximizes the total value,39
57,gpt-35-turbo-1106,question_8,maximizes the total value,29
58,gemini-1.0-pro-latest,question_9,maximizes the total value,37
59,gpt-35-turbo-1106,question_9,maximizes the total value,32
60,gemini-1.0-pro-latest,question_1,envy-free,7
61,gpt-35-turbo-1106,question_1,envy-free,16
62,gemini-1.0-pro-latest,question_10,envy-free,2
63,gpt-35-turbo-1106,question_10,envy-free,0
64,gemini-1.0-pro-latest,question_2,envy-free,13
65,gpt-35-turbo-1106,question_2,envy-free,21
66,gemini-1.0-pro-latest,question_3,envy-free,16
67,gpt-35-turbo-1106,question_3,envy-free,11
68,gemini-1.0-pro-latest,question_4,envy-free,10
69,gpt-35-turbo-1106,question_4,envy-free,15
70,gemini-1.0-pro-latest,question_5,envy-free,19
71,gpt-35-turbo-1106,question_5,envy-free,13
72,gemini-1.0-pro-latest,question_6,envy-free,9
73,gpt-35-turbo-1106,question_6,envy-free,5
74,gemini-1.0-pro-latest,question_7,envy-free,13
75,gpt-35-turbo-1106,question_7,envy-free,18
76,gemini-1.0-pro-latest,question_8,envy-free,14
77,gpt-35-turbo-1106,question_8,envy-free,16
78,gemini-1.0-pro-latest,question_9,envy-free,8
79,gpt-35-turbo-1106,question_9,envy-free,0
80,gemini-1.0-pro-latest,question_1,maximizes the total utility,6
81,gpt-35-turbo-1106,question_1,maximizes the total utility,0
82,gemini-1.0-pro-latest,question_10,maximizes the total utility,6
83,gpt-35-turbo-1106,question_10,maximizes the total utility,0
84,gemini-1.0-pro-latest,question_2,maximizes the total utility,4
85,gpt-35-turbo-1106,question_2,maximizes the total utility,0
86,gemini-1.0-pro-latest,question_3,maximizes the total utility,5
87,gpt-35-turbo-1106,question_3,maximizes the total utility,0
88,gemini-1.0-pro-latest,question_4,maximizes the total utility,2
89,gpt-35-turbo-1106,question_4,maximizes the total utility,0
90,gemini-1.0-pro-latest,question_5,maximizes the total utility,7
91,gpt-35-turbo-1106,question_5,maximizes the total utility,0
92,gemini-1.0-pro-latest,question_6,maximizes the total utility,7
93,gpt-35-turbo-1106,question_6,maximizes the total utility,0
94,gemini-1.0-pro-latest,question_7,maximizes the total utility,7
95,gpt-35-turbo-1106,question_7,maximizes the total utility,0
96,gemini-1.0-pro-latest,question_8,maximizes the total utility,1
97,gpt-35-turbo-1106,question_8,maximizes the total utility,0
98,gemini-1.0-pro-latest,question_9,maximizes the total utility,4
99,gpt-35-turbo-1106,question_9,maximizes the total utility,0
100,gemini-1.0-pro-latest,question_1,maximin,5
101,gpt-35-turbo-1106,question_1,maximin,13
102,gemini-1.0-pro-latest,question_10,maximin,0
103,gpt-35-turbo-1106,question_10,maximin,0
104,gemini-1.0-pro-latest,question_2,maximin,1
105,gpt-35-turbo-1106,question_2,maximin,17
106,gemini-1.0-pro-latest,question_3,maximin,5
107,gpt-35-turbo-1106,question_3,maximin,13
108,gemini-1.0-pro-latest,question_4,maximin,6
109,gpt-35-turbo-1106,question_4,maximin,18
110,gemini-1.0-pro-latest,question_5,maximin,2
111,gpt-35-turbo-1106,question_5,maximin,7
112,gemini-1.0-pro-latest,question_6,maximin,4
113,gpt-35-turbo-1106,question_6,maximin,11
114,gemini-1.0-pro-latest,question_7,maximin,1
115,gpt-35-turbo-1106,question_7,maximin,27
116,gemini-1.0-pro-latest,question_8,maximin,2
117,gpt-35-turbo-1106,question_8,maximin,13
118,gemini-1.0-pro-latest,question_9,maximin,1
119,gpt-35-turbo-1106,question_9,maximin,0
120,gemini-1.0-pro-latest,question_1,max-min,1
121,gpt-35-turbo-1106,question_1,max-min,7
122,gemini-1.0-pro-latest,question_10,max-min,0
123,gpt-35-turbo-1106,question_10,max-min,0
124,gemini-1.0-pro-latest,question_2,max-min,2
125,gpt-35-turbo-1106,question_2,max-min,15
126,gemini-1.0-pro-latest,question_3,max-min,1
127,gpt-35-turbo-1106,question_3,max-min,18
128,gemini-1.0-pro-latest,question_4,max-min,1
129,gpt-35-turbo-1106,question_4,max-min,17
130,gemini-1.0-pro-latest,question_5,max-min,0
131,gpt-35-turbo-1106,question_5,max-min,19
132,gemini-1.0-pro-latest,question_6,max-min,1
133,gpt-35-turbo-1106,question_6,max-min,13
134,gemini-1.0-pro-latest,question_7,max-min,0
135,gpt-35-turbo-1106,question_7,max-min,7
136,gemini-1.0-pro-latest,question_8,max-min,1
137,gpt-35-turbo-1106,question_8,max-min,16
138,gemini-1.0-pro-latest,question_9,max-min,0
139,gpt-35-turbo-1106,question_9,max-min,0
