,Text,Tokens,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
1,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,None,3,3,1
2,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1239,2,1,3,None,3,2
3,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
4,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 2""
}",1239,2,1,3,None,3,2
5,"{
""Good A"": ""Person 3"",
""Good B"": ""Person 1"",
""Good C"": ""Person 2"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,3,1,2,None,3,1
6,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1239,3,1,2,None,3,2
7,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""None"",
""Good D"": ""Person 1"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1239,2,3,None,1,1,2
8,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
9,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 2""
}",1239,2,3,1,None,1,2
10,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""None"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 1""
}",1257,2,1,3,None,3,1
11,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
12,"{
  ""Good A"": ""Person 3"",
  ""Good B"": ""None"",
  ""Good C"": ""Person 2"",
  ""Good D"": ""Person 2"",
  ""Good E"": ""Person 1"",
  ""Good F"": ""Person 1""
}",1257,3,None,2,2,1,1
13,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,3,1,2,None,3,2
14,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
15,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
16,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 1""
}",1239,2,3,1,None,1,1
17,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""Person 1""
}",1239,2,3,1,None,1,1
18,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1245,2,1,3,None,3,1
19,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""None""
}",1239,2,1,3,None,3,None
20,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 2"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,2,1,None,3,1
21,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
22,"{
""Good A"": ""Person 2"",
""Good B"": ""None"",
""Good C"": ""Person 1"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,None,1,3,3,1
23,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
24,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""None"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,3,None,3,1
25,"{
  ""Good A"": ""Person 2"",
  ""Good B"": ""Person 1"",
  ""Good C"": ""Person 3"",
  ""Good D"": ""None"",
  ""Good E"": ""Person 3"",
  ""Good F"": ""Person 1""
}",1257,2,1,3,None,3,1
26,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1245,2,1,3,3,3,1
27,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 3"",
""Good C"": ""Person 1"",
""Good D"": ""None"",
""Good E"": ""Person 1"",
""Good F"": ""None""
}",1233,2,3,1,None,1,None
28,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""Person 3"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1243,2,1,3,None,3,1
29,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Good C"": ""None"",
""Good D"": ""Person 3"",
""Good E"": ""Person 3"",
""Good F"": ""Person 1""
}",1239,2,1,None,3,3,1
