,Text,Tokens,Good A,Good B,Person 1 money,Person 2 money
0,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 30
}",0,1,2,30,20
1,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 5,
""Person 2 money"": 45
}",0,1,2,20,30
2,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,10,40
3,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 50,
""Person 2 money"": 0
}",0,1,2,10,40
4,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 30
}",0,1,2,20,30
5,"{
""Good A"": ""Person 2"",
""Good B"": ""Person 1"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,20,30
6,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 10
}",0,1,2,10,20
7,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,2,1,30,20
8,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,20,30
9,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,0,50
10,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 10,
""Person 2 money"": 40
}",0,1,2,20,30
11,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,0,50
12,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 30
}",0,1,2,20,30
13,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 30,
""Person 2 money"": 20
}",0,1,2,30,20
14,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 20,
""Person 2 money"": 30
}",0,1,2,10,40
15,"{
""Good A"": ""Person 1"",
""Good B"": ""Person 2"",
""Person 1 money"": 0,
""Person 2 money"": 50
}",0,1,2,10,40
