,Text,Good A,Good B,Good C,Good D,Good E,Good F
0,"{
""Person 1"": [""Good B"", ""Good C"", ""Good F""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good E""]
}",2,1,1,2,3,1
1,"{
""Person 1"": [""Good A"", ""Good C"", ""Good F""],
""Person 2"": [""Good B"", ""Good D"", ""Good E""],
""Person 3"": []
}",1,2,1,2,2,1
2,"{
""Person 1"": [""Good A"", ""Good B"", ""Good E""],
""Person 2"": [""Good D"", ""Good F"", ""Good C""],
""Person 3"": [""Good A"", ""Good B""]
}",1,1,2,2,1,2
3,"{
""Person 1"": [""Good B"", ""Good C"", ""Good F""],
""Person 2"": [""Good A"", ""Good D"", ""Good E""],
""Person 3"": [""Good E""]
}",2,1,1,2,3,1
4,"{
""Person 1"": [""Good C"", ""Good D"", ""Good F""],
""Person 2"": [""Good A"", ""Good B"", ""Good E""],
""Person 3"": [""Good A"", ""Good B"", ""Good E""]
}",3,2,1,1,3,1
5,"{
""Person 1"": [""Good E""],
""Person 2"": [""Good A"", ""Good B"", ""Good F""],
""Person 3"": [""Good C"", ""Good D""]
}",2,2,3,3,1,2
6,"{
""Person 1"": [""Good B"", ""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good D""]
}",3,1,1,2,1,2
7,"{
""Person 1"": [""Good B"", ""Good D"", ""Good E""],
""Person 2"": [""Good A"", ""Good C"", ""Good F""],
""Person 3"": [""Good D""]
}",2,1,2,3,1,2
8,"```
{
""Person 1"": [""Good B"", ""Good C""],
""Person 2"": [""Good A"", ""Good D"", ""Good F""],
""Person 3"": [""Good E""]
}
```",2,1,1,2,3,2
9,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good B"", ""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good E""]
}",3,2,1,2,1,2
10,"{
""Person 1"": [""Good A"", ""Good C"", ""Good F""],
""Person 2"": [""Good B"", ""Good D""],
""Person 3"": [""Good E""]
}",1,2,1,2,3,1
11,"{
""Person 1"": [""Good A"", ""Good C"", ""Good E""],
""Person 2"": [""Good B"", ""Good F"", ""Good D""],
""Person 3"": [""Good F""]
}",1,2,1,2,1,3
12,"{
""Person 1"": [""Good A"", ""Good D"", ""Good E""],
""Person 2"": [""Good B"", ""Good C"", ""Good F""],
""Person 3"": [""Good A""]
}",1,2,2,1,1,2
13,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good D"", ""Good F""],
""Person 3"": [""Good B"", ""Good G""]
}",2,3,1,2,1,2
14,"{
""Person 1"": [""Good C"", ""Good D""],
""Person 2"": [""Good A"", ""Good B""],
""Person 3"": [""Good E"", ""Good F""]
}",2,2,1,1,3,3
15,"{
""Person 1"": [""Good A"", ""Good C"", ""Good F""],
""Person 2"": [""Good B"", ""Good D"", ""Good E""],
""Person 3"": [""Good A"", ""Good B"", ""Good D""]
}",3,2,1,2,2,1
16,"{
""Person 1"": [""Good B"", ""Good C"", ""Good F""],
""Person 2"": [""Good A"", ""Good D"", ""Good E""],
""Person 3"": [""Good A""]
}",2,1,1,2,2,1
17,"{
""Person 1"": [""Good A""],
""Person 2"": [""Good E"", ""Good F""],
""Person 3"": [""Good B"", ""Good C"", ""Good D""]
}",1,3,3,3,2,2
18,"{
""Person 1"": [""Good A"", ""Good C"", ""Good F""],
""Person 2"": [""Good B"", ""Good D"", ""Good E""],
""Person 3"": [""Good A"", ""Good D""]
}",1,2,1,2,2,1
19,"{
""Person 1"": [""Good B"", ""Good C"", ""Good F""],
""Person 2"": [""Good A"", ""Good D""],
""Person 3"": [""Good E""]
}",2,1,1,2,3,1
20,"{
""Person 1"": [""Good C""],
""Person 2"": [""Good D"", ""Good F""],
""Person 3"": [""Good A"", ""Good B"", ""Good E""]
}",3,3,1,2,3,2
21,"{
""Person 1"": [""Good C"", ""Good D"", ""Good F""],
""Person 2"": [""Good A"", ""Good B""],
""Person 3"": [""Good E""]
}",2,2,1,1,3,1
22,"{
""Person 1"": [""Good B"", ""Good C"", ""Good F""],
""Person 2"": [""Good A"", ""Good D"", ""Good E""],
""Person 3"": [""Good G""]
}",2,1,1,2,2,1
23,"{
""Person 1"": [""Good A"", ""Good E""],
""Person 2"": [""Good B"", ""Good D"", ""Good F""],
""Person 3"": [""Good C""]
}",1,2,3,2,1,2
24,"{
""Person 1"": [""Good B"", ""Good D"", ""Good F""],
""Person 2"": [""Good A"", ""Good C"", ""Good E""],
""Person 3"": [""Good C"", ""Good D"", ""Good E""]
}",2,1,2,1,3,1
25,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good F""],
""Person 3"": [""Good B"", ""Good D""]
}",2,3,1,3,1,2
26,"{
""Person 1"": [""Good A"", ""Good D""],
""Person 2"": [""Good B"", ""Good C"", ""Good F""],
""Person 3"": [""Good E""]
}",1,2,2,1,3,2
27,"{
""Person 1"": [""Good C"", ""Good E"", ""Good F""],
""Person 2"": [""Good A"", ""Good B"", ""Good D""],
""Person 3"": [""Good A"", ""Good B"", ""Good D""]
}",1,2,1,3,1,1
28,"```JSON
{
""Person 1"": ""Good B, Good C"",
""Person 2"": ""Good D, Good F"",
""Person 3"": ""Good A, Good E""
}
```",3,1,1,2,3,2
29,"{
""Person 1"": [""Good C"", ""Good E""],
""Person 2"": [""Good A"", ""Good D"", ""Good F""],
""Person 3"": [""Good B""]
}",2,3,1,2,1,2
